344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 345, 345, 345, 345, 345, 345, 345, 345, 349, 355, 362, 365, 365, 365, 365, 365, 365, 365, 365, 365, 365, 365, 365, 365, 362, 362, 360, 360, 360, 360, 360, 360, 357, 355, 355, 355, 355, 355, 355, 354, 354, 354, 353, 352, 351, 350, 347, 339, 331, 323, 315, 307, 299, 291, 283, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 
278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 279, 280, 280, 280, 280, 280, 280, 280, 280, 280, 283, 287, 288, 288, 288, 288, 288, 288, 288, 288, 288, 287, 282, 279, 279, 276, 276, 276, 276, 276, 276, 276, 276, 276, 276, 272, 269, 269, 269, 269, 269, 269, 269, 268, 266, 266, 266, 265, 257, 251, 243, 235, 228, 220, 213, 205, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 
200, 200, 200, 200, 200, 200, 200, 200, 201, 201, 201, 201, 201, 202, 202, 202, 202, 202, 203, 204, 205, 206, 206, 206, 206, 206, 206, 206, 206, 209, 217, 225, 226, 226, 226, 226, 226, 226, 226, 226, 226, 226, 226, 226, 226, 222, 218, 210, 203, 203, 203, 203, 203, 203, 201, 201, 201, 201, 201, 201, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 
198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 199, 199, 200, 200, 200, 200, 200, 200, 200, 200, 205, 213, 220, 221, 221, 221, 221, 221, 221, 221, 221, 221, 221, 221, 221, 221, 221, 221, 221, 221, 221, 221, 221, 221, 221, 221, 221, 221, 221, 221, 221, 221, 221, 221, 221, 221, 221, 221, 220, 212, 204, 196, 196, 196, 196, 196, 196, 196, 196, 196, 196, 196, 196, 196, 196, 196, 196, 196, 196, 196, 196, 196, 196, 196, 196, 196, 
196, 196, 196, 196, 196, 196, 196, 196, 196, 196, 196, 196, 196, 196, 196, 196, 196, 196, 196, 196, 196, 196, 197, 198, 200, 202, 205, 209, 213, 221, 229, 237, 245, 253, 261, 269, 277, 285, 293, 301, 309, 315, 322, 330, 338, 344, 347, 355, 363, 371, 379, 387, 395, 402, 410, 417, 425, 433, 439, 447, 455, 460, 464, 472, 480, 488, 496, 504, 504, 504, 504, 504, 504, 504, 504, 504, 504, 504, 504, 504, 504, 504, 504, 504, 504, 504, 504, 504, 504, 504, 504, 504, 504, 504, 504, 
504, 504, 504, 504, 504, 505, 505, 505, 505, 505, 505, 505, 505, 505, 505, 505, 505, 505, 505, 506, 507, 508, 509, 512, 515, 517, 518, 522, 528, 536, 544, 552, 560, 568, 576, 584, 592, 600, 608, 616, 624, 632, 640, 648, 656, 664, 672, 680, 688, 695, 701, 709, 717, 725, 733, 740, 748, 753, 761, 769, 776, 784, 792, 799, 806, 814, 821, 826, 830, 830, 830, 830, 830, 830, 830, 830, 830, 830, 830, 830, 830, 830, 830, 830, 830, 830, 830, 830, 830, 830, 830, 830, 830, 830, 830, 
830, 830, 830, 830, 830, 830, 830, 830, 830, 830, 830, 830, 830, 830, 830, 830, 830, 830, 830, 830, 830, 830, 830, 830, 830, 830, 830, 830, 830, 834, 840, 845, 845, 845, 845, 845, 845, 845, 845, 845, 845, 845, 845, 845, 845, 845, 845, 845, 845, 845, 845, 845, 845, 843, 839, 836, 835, 833, 832, 831, 831, 831, 831, 831, 831, 831, 831, 831, 823, 815, 807, 799, 791, 783, 775, 768, 762, 762, 762, 762, 762, 762, 762, 762, 762, 762, 762, 762, 762, 762, 762, 762, 762, 762, 762, 
762, 762, 762, 762, 762, 762, 762, 762, 762, 762, 762, 762, 762, 762, 762, 762, 762, 762, 762, 762, 762, 762, 762, 762, 762, 762, 762, 762, 762, 763, 767, 772, 772, 772, 772, 772, 772, 772, 772, 772, 772, 772, 772, 772, 772, 772, 772, 772, 772, 772, 772, 772, 772, 772, 772, 772, 772, 766, 761, 754, 747, 740, 734, 729, 722, 714, 706, 698, 690, 682, 674, 666, 658, 650, 642, 634, 626, 621, 619, 618, 618, 618, 618, 618, 618, 618, 618, 618, 618, 618, 618, 618, 618, 618, 618, 
618, 618, 618, 618, 618, 618, 618, 618, 618, 618, 618, 618, 618, 618, 618, 618, 618, 618, 618, 619, 619, 620, 620, 620, 620, 620, 620, 620, 620, 620, 623, 623, 623, 623, 623, 623, 623, 623, 623, 623, 623, 623, 623, 623, 623, 623, 623, 623, 623, 623, 623, 623, 623, 623, 623, 622, 622, 622, 622, 622, 622, 622, 622, 622, 621, 621, 620, 619, 611, 603, 595, 589, 581, 573, 565, 557, 555, 555, 555, 555, 555, 555, 555, 555, 555, 555, 555, 555, 555, 555, 555, 555, 555, 555, 555, 
555, 555, 555, 555, 555, 555, 555, 555, 555, 555, 555, 555, 555, 555, 555, 555, 555, 555, 555, 556, 557, 557, 557, 557, 557, 557, 557, 557, 557, 561, 562, 562, 562, 562, 562, 562, 562, 562, 562, 562, 562, 562, 561, 561, 561, 561, 561, 561, 561, 561, 561, 561, 561, 561, 561, 561, 561, 560, 559, 559, 557, 552, 550, 549, 549, 547, 544, 543, 537, 529, 521, 513, 505, 497, 489, 481, 476, 476, 476, 476, 476, 476, 476, 476, 476, 476, 476, 476, 476, 476, 476, 476, 476, 476, 476, 
476, 477, 477, 477, 478, 479, 479, 479, 479, 479, 480, 481, 481, 481, 481, 481, 481, 481, 481, 481, 481, 481, 481, 481, 481, 481, 481, 481, 481, 481, 482, 482, 482, 482, 482, 482, 482, 480, 478, 477, 474, 474, 473, 470, 468, 467, 464, 461, 460, 460, 460, 460, 460, 458, 456, 455, 447, 439, 432, 424, 416, 408, 400, 392, 384, 376, 368, 360, 352, 344, 336, 328, 320, 312, 304, 296, 288, 281, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 
278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 281, 286, 293, 296, 296, 296, 296, 297, 298, 299, 300, 302, 303, 305, 306, 307, 308, 308, 309, 309, 310, 311, 311, 311, 311, 311, 311, 311, 311, 311, 311, 311, 311, 311, 311, 311, 311, 311, 311, 311, 311, 311, 311, 311, 310, 309, 308, 308, 308, 308, 308, 308, 308, 308, 308, 308, 308, 308, 308, 308, 308, 308, 308, 308, 308, 308, 
